,Unnamed: 0,artist,city,venue,showName,genre,weekend,month,maxprice,minprice,id,score,pop
963,WILLOW1,WILLOW,Edmonton,Rocky Mountain Icehouse,"Cups N Cakes Ep 200 showcase Night Show feat. The Garrys, Motherhood, Wolf Willow, Sean Davis Newton - Winterruption YEG 2023",Rock,1,1,13.86,13.86,rZ7HnEZ1A3jZuA,75,25237.0
964,WILLOW3,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,1,12,24.5,24.5,G5vGZ94NIiScJ,75,2600000.0
965,WILLOW4,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,1,12,24.5,24.5,G5vGZ94piUwQM,75,12710.0
966,WILLOW5,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,1,12,24.5,24.5,G5vGZ94NIiScI,75,37379.0
967,WILLOW6,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,0,12,25.0,22.5,G5vGZ94NndKm8,75,118219.0
968,WILLOW7,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,0,12,25.0,22.5,G5vGZ94NnnKmr,75,118219.0
969,WILLOW8,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,0,12,25.0,22.5,G5vGZ94NnnNm0,75,1986.0
970,WILLOW9,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,0,12,25.0,22.5,G5vGZ94NnnNmO,75,13369.0
971,WILLOW10,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,0,12,24.5,24.5,G5vGZ94NnnNRU,75,2189878.0
972,WILLOW11,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,0,12,24.5,24.5,G5vGZ94NnnNmJ,75,2189878.0
973,WILLOW12,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,1,12,24.5,24.5,G5vGZ94NnnNYF,75,2753.0
